product_id,title,vendor,product_type,category,subcategory,total_quantity,total_revenue,total_list_revenue,order_count,revenue_share
gid://shopify/LineItem/14331562983638,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,119850.0,159800.0,1,5.327313425435784e-06
gid://shopify/LineItem/14360686461142,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,119850.0,159800.0,1,5.327313425435784e-06
gid://shopify/LineItem/14299629715670,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,119850.0,159800.0,1,5.327313425435784e-06
gid://shopify/LineItem/13894885572822,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,119850.0,159800.0,1,5.327313425435784e-06
gid://shopify/LineItem/14311894417622,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,119850.0,159800.0,1,5.327313425435784e-06
gid://shopify/LineItem/14386825232598,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,119850.0,159800.0,1,5.327313425435784e-06
gid://shopify/LineItem/14418883150038,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,119850.0,159800.0,1,5.327313425435784e-06
gid://shopify/LineItem/14510099267798,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,119850.0,159800.0,1,5.327313425435784e-06
gid://shopify/LineItem/14562325496022,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,119850.0,159800.0,1,5.327313425435784e-06
gid://shopify/LineItem/14472416526550,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,119850.0,159800.0,1,5.327313425435784e-06
gid://shopify/LineItem/14482366333142,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,119850.0,159800.0,1,5.327313425435784e-06
gid://shopify/LineItem/14000537108694,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,119850.0,159800.0,1,5.327313425435784e-06
gid://shopify/LineItem/14290718261462,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,119850.0,159800.0,1,5.327313425435784e-06
gid://shopify/LineItem/14155782652118,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,119850.0,159800.0,1,5.327313425435784e-06
gid://shopify/LineItem/13955310878934,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,119850.0,159800.0,1,5.327313425435784e-06
gid://shopify/LineItem/14335920111830,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,119850.0,159800.0,1,5.327313425435784e-06
gid://shopify/LineItem/13987056156886,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,119850.0,159800.0,1,5.327313425435784e-06
gid://shopify/LineItem/13925771378902,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,119850.0,159800.0,1,5.327313425435784e-06
